NAME,DBA,STADDR,STADDR2,CITY,STATE,ZIP
"A Plus Title Loans, Inc.",,8983  Potter Road,,Des Plaines,IL,60016
"A-All Financial Services, Inc.",,"320 West Illinois Route 173, Suite B",,Antioch,IL,60002
"A-All Financial Services, Inc.",,1251D North Skokie Highway,,Lake Bluff,IL,60044
"A-All Payday Loans, Inc.",,8261 West Belmont Avenue,,River Grove,IL,60171
"AAA Cash Advance, Inc.",,19 Pullen Road,,Metropolis,IL,62960
"Advance America, Cash Advance Centers of IL","D/b/a Kickstand Lending, D/b/a Advance America","750 Shipyard Drive, Suite 200",,Wilmington,DE,19801
"Advance America, Cash Advance Centers of IL, Inc.",D/b/a Advance America,1552 North Aurora Road,Suite 100,Naperville,IL,60563
"Advance America, Cash Advance Centers of IL, Inc.",D/b/a Advance America,729 Tenney Street,,Kewanee,IL,61443
"Advance America, Cash Advance Centers of IL, Inc.",D/b/a Advance America,113 North Main Street,,Canton,IL,61520
"Advance America, Cash Advance Centers of IL, Inc.",D/b/a Advance America,2438 Sycamore Road,,DeKalb,IL,60115
"Advance America, Cash Advance Centers of IL, Inc.",D/b/a Advance America,150 South Kennedy Drive - Route 25,Suite 5A,Carpentersville,IL,60110
"Advance America, Cash Advance Centers of IL, Inc.",D/b/a Advance America,1746 South State Street,,Belvidere,IL,61008
"Advance America, Cash Advance Centers of IL, Inc.",D/b/a Advance America,5924 North Second Street,,Loves Park,IL,61111
"Advance America, Cash Advance Centers of IL, Inc.",D/b/a Advance America,1239 Sandy Hollow Road,,Rockford,IL,61109
"Advance America, Cash Advance Centers of IL, Inc.",D/b/a Advance America,617 Avenue Of The Cities,,East Moline,IL,61244
"Advance America, Cash Advance Centers of IL, Inc.",D/b/a Advance America,3850 Blackhawk Road,Suite H3,Rock Island,IL,61201
"Advance America, Cash Advance Centers of IL, Inc.",D/b/a Advance America,"1500 South Lake Street, Unit C",,Mundelein,IL,60060
"Advance America, Cash Advance Centers of IL, Inc.",D/b/a Advance America,901 West Morton Avenue,Suite 21,Jacksonville,IL,62650
"Advance America, Cash Advance Centers of IL, Inc.",D/b/a Advance America,108 East Norris Drive,,Ottawa,IL,61350
"Advance America, Cash Advance Centers of IL, Inc.",D/b/a Advance America,2367 Bloomington Street,Unit G,Streator,IL,61364
"Advance America, Cash Advance Centers of IL, Inc.",D/b/a Advance America,750 North Henderson,,Galesburg,IL,61401
"Advance America, Cash Advance Centers of IL, Inc.",D/b/a Advance America,1613 Douglas,,Montgomery,IL,60538
"Advance America, Cash Advance Centers of IL, Inc.",D/b/a Advance America,142 Junction Drive,,Glen Carbon,IL,62034
"Advance America, Cash Advance Centers of IL, Inc.",D/b/a Advance America,521 West Belt Line Road,,Collinsville,IL,62234
"Advance America, Cash Advance Centers of IL, Inc.",D/b/a Advance America,3125 North University,,Peoria,IL,61604
"Advance America, Cash Advance Centers of IL, Inc.",D/b/a Advance America,1627 Broadway Street,,Pekin,IL,61554
"Advance America, Cash Advance Centers of IL, Inc.",D/b/a Advance America,2420 East Washington Road,,East Peoria,IL,61611
"Advance America, Cash Advance Centers of IL, Inc.",D/b/a Advance America,2516 South MacArthur Boulevard,,Springfield,IL,62704
"Advance America, Cash Advance Centers of IL, Inc.",D/b/a Advance America,114 North Vine,Suite G,Urbana,IL,61802
"Advance America, Cash Advance Centers of IL, Inc.",D/b/a Advance America,"1311 North Galena Avenue,  Suite 150",,Dixon,IL,61021
"Advance America, Cash Advance Centers of IL, Inc.",D/b/a Advance America,4311 East Lincolnway,Suite B,Sterling,IL,61081
"Advance America, Cash Advance Centers of IL, Inc.",D/b/a Advance America,3257 Court Street,,Pekin,IL,61554
"Advance America, Cash Advance Centers of IL, Inc.",D/b/a Advance America,14 West Edwardsville Road,,Wood River,IL,62095
"Advance America, Cash Advance Centers of IL, Inc.",D/b/a Advance America,1770 South Rosenstiel Drive,,Freeport,IL,61032
"Advance America, Cash Advance Centers of IL, Inc.",D/b/a Advance America,482 North Weber Road,,Romeoville,IL,60446
"Advance America, Cash Advance Centers of IL, Inc.",D/b/a Advance America,446 North Mannheim Road,,Hillside,IL,60162
"Advance America, Cash Advance Centers of IL, Inc.",D/b/a Advance America,4142 West 167th Street,Suite 6,Oak Forest,IL,60452
"Advance America, Cash Advance Centers of IL, Inc.",D/b/a Advance America,2828 South 17th Street,Unit B,Broadview,IL,60155
"Advance America, Cash Advance Centers of IL, Inc.",D/b/a Advance America,5757 Godfrey Road,,Godfrey,IL,62035
"Advance America, Cash Advance Centers of IL, Inc.",D/b/a Advance America,106 Village Square Shopping Center,Suite 6,Bradley,IL,60915
"Advance America, Cash Advance Centers of IL, Inc.",D/b/a Advance America,12200 South Western Avenue,Unit 110,Blue Island,IL,60406
"Advance America, Cash Advance Centers of IL, Inc.",D/b/a Advance America,2525 Green Mount Commons Drive,Suite 110,Belleville,IL,62221
"Advance America, Cash Advance Centers of IL, Inc.",D/b/a Advance America,17655 South Torrence Avenue,,Lansing,IL,60438
"Advance America, Cash Advance Centers of IL, Inc.",D/b/a Advance America,3100 Kirchoff Road,,Rolling Meadows,IL,60008
"America's Financial Choice, Inc.",,6 North Austin Avenue,,Oak Park,IL,60302
"America's Financial Choice, Inc.",,3555 West Irving Park Road,,Chicago,IL,60618
"America's Financial Choice, Inc.",,10302 South Halsted Street,,Chicago,IL,60643
"America's Financial Choice, Inc.",,4016-1/2 North Cicero Avenue,,Chicago,IL,60641
"America's Financial Choice, Inc.",,570 West Roosevelt Road,,Chicago,IL,60607
"America's Financial Choice, Inc.",,667 River Oaks Drive,,Calumet City,IL,60409
"America's Financial Choice, Inc.",,1107 Sibley Boulevard,,Dolton,IL,60419
"America's Financial Choice, Inc.",,"2622 Broadway Street, Suite A",,Mt. Vernon,IL,62864
"America's Financial Choice, Inc.",,1701 North Market Street,Suite E,Sparta,IL,62286
"America's Financial Choice, Inc.",,1665 Wabash Avenue,,Jerome,IL,62704
"America's Financial Choice, Inc.",,"651 Carlyle Avenue, Suite G",,Belleville,IL,62221
"America's Financial Choice, Inc.",,821 Bloomington Road,,Champaign,IL,61820
"America's Financial Choice, Inc.",,799 South Washington Street,,DuQuoin,IL,62832
